sec,phase_err_uncomp_ns,phase_err_comp_ns,osc_delta_cycles,comp_step_cycles,comp_offset_cycles
0,0,0,0,0,0
1,0,100,1,1,0
2,0,100,1,1,0
3,0,100,1,1,0
4,0,100,1,1,0
5,0,100,1,1,0
6,0,100,1,1,0
7,0,100,1,1,0
8,0,100,1,1,0
9,0,100,1,1,0
10,0,100,1,1,0
11,0,100,1,1,0
12,0,100,1,1,0
13,0,100,1,1,0
max_abs_uncomp_ns,0
max_abs_comp_ns,100
